,0
0,147.5
1,147.0
2,147.5
3,146.5
4,146.5
5,148.5
6,147.5
7,148.0
8,146.0
9,146.5
10,146.5
11,146.5
12,146.5
13,145.5
14,145.5
15,147.5
16,146.5
17,145.0
18,147.0
19,146.0
20,145.0
21,144.0
22,143.0
23,141.0
24,140.0
25,138.5
26,139.0
27,139.5
28,143.5
29,144.5
30,143.0
31,142.0
32,142.5
33,142.0
34,142.0
35,144.5
36,145.0
37,146.5
38,146.0
39,138.5
40,140.5
41,141.0
42,141.5
43,142.5
44,140.5
45,140.5
46,138.0
47,136.5
48,138.5
49,138.5
50,138.5
51,136.5
52,140.0
53,139.0
54,140.5
55,139.0
56,136.0
57,137.0
58,134.0
59,134.0
60,135.5
61,138.5
62,139.5
63,134.5
64,136.5
65,134.0
66,134.0
67,133.0
68,129.0
69,130.5
70,128.5
71,128.0
72,126.0
73,124.0
74,126.0
75,125.0
76,126.0
77,121.0
78,115.0
79,123.5
80,122.5
81,124.0
82,125.0
83,129.0
84,124.0
85,125.5
86,127.0
87,125.0
88,122.5
89,123.0
90,129.0
91,125.0
92,127.5
93,127.5
94,126.0
95,129.5
96,131.0
97,131.5
98,129.5
99,129.0
100,124.5
101,127.0
102,127.0
103,130.0
104,133.5
105,132.0
106,132.5
107,133.0
108,135.0
109,136.0
110,138.5
111,137.5
112,136.5
113,140.0
114,137.5
115,138.0
116,139.0
117,138.5
118,137.5
119,140.0
120,140.0
121,139.0
122,138.0
123,136.5
124,136.5
125,137.5
126,139.5
127,144.5
128,142.5
129,140.0
130,142.0
131,139.5
132,137.5
133,138.5
134,136.0
135,135.0
136,138.5
137,137.0
138,140.5
139,141.0
140,141.0
141,139.5
142,141.0
143,142.5
144,139.0
145,139.0
146,142.5
147,142.5
148,142.5
149,140.5
150,143.5
151,142.5
152,140.5
153,141.0
154,139.5
155,139.0
156,138.0
157,143.5
158,145.0
159,142.0
160,141.5
161,142.0
162,141.5
163,142.0
164,143.0
165,143.5
166,142.0
167,142.5
168,143.0
169,139.5
170,138.0
171,135.5
172,133.0
173,134.0
174,133.0
175,133.0
176,133.5
177,131.5
178,137.0
179,137.0
180,138.0
181,134.5
182,135.0
183,138.5
184,139.5
185,137.5
186,139.5
187,140.0
188,143.0
189,142.0
190,144.0
191,142.5
192,146.0
193,145.0
194,147.5
195,148.0
196,151.0
197,151.0
198,151.0
199,149.5
200,148.0
201,150.5
202,149.0
203,152.0
204,153.0
205,154.0
206,152.5
207,152.0
208,152.0
209,153.0
210,154.5
211,155.0
212,156.0
213,154.5
214,156.0
215,158.5
216,159.5
217,160.0
218,158.5
219,159.5
220,158.5
221,158.0
222,159.0
223,159.0
