,0,1
0,48.75,10200.0
1,49.0,10200.0
2,53.9,10125.0
3,55.8,10150.0
4,55.8,10100.0
5,53.1,9950.0
6,53.9,10025.0
7,52.5,10025.0
8,51.7,10050.0
9,50.0,9950.0
10,51.6,10000.0
11,52.5,9925.0
12,53.1,9850.0
13,55.0,9875.0
14,60.5,9975.0
15,59.8,10000.0
16,61.2,9975.0
17,61.9,9975.0
18,60.9,9950.0
19,59.0,10000.0
20,60.1,10075.0
21,62.1,10075.0
22,60.7,10200.0
23,60.5,10175.0
24,60.4,10200.0
25,61.0,10200.0
26,60.1,10150.0
27,61.9,10050.0
28,61.0,10150.0
29,60.5,10525.0
30,60.4,10575.0
31,58.0,10500.0
32,58.8,10525.0
33,62.8,10625.0
34,61.7,10625.0
35,64.0,10625.0
36,64.6,10625.0
37,63.4,10575.0
38,63.0,10575.0
39,62.4,10675.0
40,62.0,9450.0
41,61.3,9425.0
42,61.7,9400.0
43,62.5,9225.0
44,61.2,9225.0
45,60.4,9175.0
46,61.0,9300.0
47,60.4,9250.0
48,61.4,9100.0
49,61.0,9050.0
50,60.7,8900.0
51,62.3,8900.0
52,61.2,9025.0
53,60.7,9075.0
54,60.8,9000.0
55,60.9,8900.0
56,66.9,8900.0
57,64.7,8875.0
58,64.8,8800.0
59,65.2,8850.0
60,65.0,8850.0
61,64.6,8825.0
62,62.8,8825.0
63,64.2,8875.0
64,63.7,9050.0
65,63.5,9050.0
66,64.0,9075.0
67,65.5,9150.0
68,67.0,9125.0
69,65.9,9050.0
70,64.9,8925.0
71,63.2,8775.0
72,62.1,8850.0
73,58.5,9000.0
74,59.2,9075.0
75,60.2,9125.0
76,61.3,9175.0
77,60.4,9175.0
78,63.5,9175.0
79,62.2,9075.0
80,62.7,9100.0
81,62.8,9075.0
82,63.6,9125.0
83,64.2,9225.0
84,64.6,9225.0
85,66.0,9175.0
86,66.4,9250.0
87,66.4,9250.0
88,71.2,9300.0
89,71.1,9400.0
90,70.1,9275.0
91,68.0,9125.0
92,71.7,9150.0
93,70.0,9125.0
94,69.7,9250.0
95,69.8,9275.0
96,69.6,9350.0
97,70.8,9325.0
98,70.0,9275.0
99,68.1,9225.0
100,67.5,9175.0
101,67.8,9150.0
102,66.0,9125.0
103,63.5,9025.0
104,63.5,9025.0
105,65.0,9025.0
106,65.6,9000.0
107,65.8,9025.0
108,66.2,9000.0
109,65.9,9025.0
110,65.3,9000.0
111,64.8,9025.0
112,63.1,9000.0
113,62.2,9000.0
114,61.0,9000.0
115,63.4,8950.0
116,62.8,8925.0
117,61.3,8925.0
118,61.5,8975.0
119,61.8,9050.0
120,61.2,9000.0
121,61.0,9000.0
122,62.6,8900.0
123,60.9,8900.0
124,59.4,9000.0
125,58.5,9225.0
126,53.2,9250.0
127,55.1,9250.0
128,55.0,9175.0
129,54.4,9125.0
130,53.4,9150.0
131,53.3,9175.0
132,55.0,9100.0
133,56.7,9175.0
134,54.8,9150.0
135,56.1,9175.0
136,53.5,9300.0
137,55.9,9300.0
138,57.0,9250.0
139,55.9,9300.0
140,56.1,9350.0
141,55.2,9650.0
142,56.4,9600.0
143,56.7,9550.0
144,57.8,9475.0
145,57.5,9450.0
146,58.3,9475.0
147,57.5,9450.0
148,57.9,9425.0
149,56.0,9450.0
150,55.2,9325.0
151,56.6,9375.0
152,54.4,9275.0
153,53.2,9125.0
154,52.1,9175.0
155,52.9,9100.0
156,54.3,9275.0
157,53.1,9200.0
158,53.1,9175.0
159,53.3,9175.0
160,53.2,9200.0
161,52.7,9275.0
162,51.3,9225.0
163,51.8,9225.0
164,52.0,9175.0
165,53.2,9250.0
166,53.2,9275.0
167,51.6,9300.0
168,51.8,9475.0
169,52.3,9600.0
170,52.5,9575.0
171,54.7,9800.0
172,54.7,9850.0
173,55.3,9725.0
174,58.8,9750.0
175,57.5,9900.0
176,56.8,9750.0
177,55.9,9775.0
178,50.4,9800.0
179,50.9,9975.0
180,48.45,10000.0
181,48.6,9975.0
182,49.2,10100.0
183,49.2,10100.0
184,48.15,10025.0
185,45.5,9925.0
186,45.15,9850.0
187,46.4,9975.0
188,45.6,9950.0
189,45.8,10000.0
190,46.1,10025.0
