,0
0,114.0
1,114.0
2,113.0
3,113.0
4,109.0
5,102.0
6,108.5
7,107.5
8,107.0
9,105.5
10,106.0
11,105.5
12,104.0
13,103.0
14,104.0
15,104.0
16,106.0
17,104.0
18,104.0
19,102.0
20,103.0
21,104.0
22,104.0
23,104.0
24,107.5
25,105.5
26,104.5
27,103.0
28,104.0
29,104.0
30,98.6
31,94.1
32,94.9
33,94.7
34,97.4
35,95.5
36,94.5
37,93.3
38,93.7
39,93.5
40,91.3
41,91.7
42,91.0
43,89.7
44,88.9
45,89.0
46,90.2
47,91.5
48,91.5
49,90.8
50,91.2
51,92.9
52,92.3
53,91.1
54,90.0
55,92.0
56,92.0
57,91.8
58,91.2
59,91.2
60,91.2
61,95.0
62,92.6
63,92.0
64,92.3
65,91.3
66,90.1
67,89.9
68,91.0
69,90.2
70,84.9
71,84.2
72,84.5
73,82.3
74,83.0
75,83.3
76,85.1
77,83.8
78,82.9
79,83.2
80,83.0
81,84.0
82,86.0
83,85.1
84,85.7
85,85.3
86,85.0
87,85.9
88,85.0
89,85.9
90,85.0
91,81.1
92,81.9
93,79.0
94,78.5
95,76.6
96,77.0
97,77.1
98,78.5
99,77.1
100,76.0
101,76.5
102,73.7
103,70.9
104,71.0
105,71.9
106,71.6
107,71.0
108,71.6
109,73.5
110,73.0
111,72.5
112,71.5
113,71.2
114,71.7
115,71.3
116,71.5
117,70.5
118,71.0
119,70.7
120,74.3
121,73.6
122,73.3
123,73.8
124,73.6
125,72.6
126,73.7
127,72.9
128,73.1
129,73.1
130,72.9
131,72.0
132,72.4
133,75.3
134,72.0
135,71.5
136,71.8
137,71.0
138,71.4
139,71.3
140,70.8
141,71.0
142,70.8
143,70.8
144,70.7
145,68.6
146,67.6
147,67.8
148,67.2
149,65.8
150,64.5
151,63.0
152,64.4
153,63.3
154,63.5
155,63.7
156,66.2
157,66.6
158,67.0
159,67.1
160,67.0
161,67.3
162,67.0
163,66.7
164,67.2
165,66.6
166,67.2
167,65.7
168,65.7
169,66.4
170,67.8
171,69.9
172,69.6
173,72.7
174,71.6
175,71.1
176,70.3
177,67.4
178,67.7
179,68.0
180,71.4
181,70.7
182,69.8
183,70.0
184,70.0
185,70.0
186,70.8
187,69.9
188,69.2
189,69.2
190,68.8
191,68.7
192,69.1
193,69.3
194,68.5
195,68.0
196,62.8
197,63.8
198,63.2
199,60.8
200,61.9
201,63.4
202,64.2
203,64.4
204,63.5
205,63.3
206,63.0
207,62.5
208,62.6
209,63.0
210,62.5
211,62.8
212,62.0
213,63.0
214,63.2
215,64.9
216,64.8
217,64.7
218,64.2
219,63.3
220,62.2
221,62.4
222,61.8
223,61.5
224,61.6
225,61.8
226,60.6
227,60.5
228,61.1
229,61.4
230,60.4
231,59.0
232,59.2
233,59.3
234,58.5
235,58.8
236,58.5
237,56.8
238,55.9
239,55.8
240,54.1
241,52.3
242,51.2
243,53.6
244,51.8
245,52.0
246,53.4
247,54.3
248,53.1
249,53.6
250,52.7
251,53.0
252,52.2
253,52.2
254,52.4
