,0,1
0,18.6,10475.0
1,18.35,10500.0
2,18.35,10500.0
3,18.2,10750.0
4,18.0,10650.0
5,17.8,10425.0
6,17.9,10325.0
7,17.95,10150.0
8,18.0,10125.0
9,18.0,10175.0
10,17.95,9950.0
11,18.0,10000.0
12,17.9,10000.0
13,18.0,9950.0
14,18.3,9925.0
15,18.2,9950.0
16,18.3,9925.0
17,18.45,9925.0
18,18.45,9950.0
19,18.45,9875.0
20,18.3,9900.0
21,18.25,9850.0
22,18.35,9825.0
23,18.0,9825.0
24,18.0,9775.0
25,18.1,9625.0
26,18.0,8900.0
27,18.15,9025.0
28,18.05,8950.0
29,18.15,9050.0
30,18.35,9125.0
31,18.2,8925.0
32,18.05,8975.0
33,18.25,9050.0
34,18.3,9050.0
35,18.45,9075.0
36,18.3,9100.0
37,18.25,9050.0
38,18.25,9050.0
39,17.9,8950.0
40,18.0,9050.0
41,18.0,9150.0
42,17.9,9150.0
43,18.0,9125.0
44,17.85,8875.0
45,17.9,8825.0
46,17.55,8425.0
47,17.65,8150.0
48,18.15,8300.0
49,18.45,8425.0
50,18.5,8450.0
51,19.9,8400.0
52,19.45,8400.0
53,19.7,8400.0
54,19.6,8350.0
55,19.2,8325.0
56,18.9,8200.0
57,19.05,8200.0
58,18.5,7925.0
59,18.45,7825.0
60,18.55,7900.0
61,18.95,8000.0
62,19.0,8000.0
63,17.7,7900.0
64,17.85,7900.0
65,17.9,7950.0
66,17.85,7925.0
67,18.2,7975.0
68,18.9,8300.0
69,18.4,8050.000000000001
70,18.0,8125.0
71,18.1,8175.000000000001
72,18.7,8500.0
73,18.6,8500.0
74,18.35,8500.0
75,17.8,8400.0
76,17.65,8375.0
77,17.3,8325.0
78,16.25,7500.0
79,17.2,6150.0
80,17.3,6150.0
81,17.1,6225.0
82,17.3,6350.0
83,17.5,6975.0
84,17.25,7425.0
85,18.0,7300.0
86,17.95,7450.0
87,17.65,7650.0
88,17.65,7475.0
89,17.8,7500.0
90,18.15,7500.0
91,18.3,7225.0
92,18.95,7250.0
93,18.85,7175.0
94,18.65,7150.0
95,18.7,7125.0
96,18.9,7150.0
97,19.2,7325.0
98,19.05,7125.0
99,19.15,7175.0
100,19.25,7000.0
101,19.75,6825.0
102,19.95,6825.0
103,19.0,6575.0
104,19.4,6550.0
105,19.3,6550.0
106,19.35,6450.0
107,19.6,6425.0
108,20.25,6500.0
109,19.75,6450.0
110,19.8,6450.0
111,20.05,6400.0
112,19.85,6425.0
113,20.1,6475.0
114,19.8,6425.0
115,19.95,6400.0
116,19.45,6450.0
117,19.15,6475.0
118,19.5,6300.0
119,19.7,6275.0
120,19.7,6375.0
121,19.85,6400.0
122,19.85,6500.0
123,20.0,6600.0
124,19.9,6750.0
125,20.0,6775.0
126,20.1,6775.0
127,19.8,6800.0
128,19.8,6750.0
129,19.6,6825.0
130,19.8,6825.0
131,19.6,6800.0
132,19.4,6600.0
133,19.55,6525.0
134,19.5,6725.0
135,19.4,6550.0
136,19.35,6675.0
137,19.05,6475.0
138,18.9,6500.0
139,19.4,6475.0
140,19.15,6500.0
141,19.2,6400.0
142,19.2,6450.0
143,19.25,6450.0
144,19.4,6325.0
145,19.25,6150.0
146,19.35,6125.0
147,19.25,6150.0
148,19.1,6125.0
149,19.3,6075.0
150,19.2,6050.0
151,18.95,5950.0
152,18.75,5750.0
153,18.55,5700.0
154,18.3,5700.0
155,18.05,5575.0
156,18.05,5650.0
157,17.9,5650.0
158,18.2,5850.0
159,19.1,5825.0
160,18.6,5825.0
161,18.5,5850.0
162,18.3,6100.0
163,18.1,6075.0
164,18.2,6100.0
165,18.2,6075.0
166,18.1,6075.0
167,18.1,6350.0
168,18.0,6350.0
169,17.9,6475.0
170,17.55,6350.0
171,17.45,6125.0
172,17.05,6075.0
173,17.25,6150.0
174,17.1,6000.0
175,17.0,5950.0
176,16.95,5900.0
177,16.9,5725.0
178,16.8,5750.0
179,17.05,5850.0
180,17.1,5925.0
181,16.85,5775.0
182,16.7,5775.0
183,16.5,5800.0
184,16.95,5800.0
185,16.75,5750.0
186,16.95,5800.0
187,17.0,5800.0
188,17.3,5900.0
189,17.25,6025.0
190,17.05,6025.0
191,17.15,6050.0
192,16.9,5975.0
193,16.7,5875.0
194,17.2,6000.0
195,17.0,6000.0
196,17.05,6000.0
197,17.0,6000.0
198,16.8,6150.0
199,16.85,6200.0
200,16.8,6175.0
201,16.9,6225.0
202,16.9,6225.0
203,16.7,6425.0
204,16.85,6425.0
205,17.1,6525.0
206,17.3,6900.0
207,17.2,7300.0
208,17.0,7125.0
209,17.0,7175.0
210,16.95,7200.0
211,17.1,7500.0
212,17.15,7700.0
213,16.85,7300.0
214,16.8,7300.0
215,16.7,7325.0
216,16.8,7300.0
217,16.8,7300.0
218,16.8,7300.0
219,16.9,7450.0
220,16.85,7525.0
221,16.8,8275.0
222,16.0,8375.0
223,15.85,8025.0
224,15.9,8225.0
225,15.8,8000.0
226,15.95,8200.0
227,15.85,8225.0
228,15.75,8100.0
229,15.8,8100.0
230,15.75,8074.999999999999
231,15.55,8025.0
232,15.7,8100.0
233,15.85,8250.0
234,15.8,8200.0
235,15.55,8100.0
236,15.55,8175.000000000001
237,15.55,8074.999999999999
238,15.85,8100.0
239,15.6,8100.0
240,15.7,8100.0
241,15.6,8074.999999999999
242,15.55,8074.999999999999
243,15.55,8025.0
244,15.55,8125.0
245,15.25,8175.000000000001
246,15.05,8074.999999999999
247,15.05,8074.999999999999
248,15.0,8074.999999999999
249,15.1,8025.0
250,15.1,8100.0
251,15.0,8074.999999999999
252,14.95,8000.0
253,14.75,7500.0
254,14.8,7475.0
255,14.7,7575.0
256,14.6,7500.0
257,14.5,7525.0
258,14.65,7475.0
259,14.85,7625.0
260,14.75,7600.0
261,14.6,7600.0
262,14.65,7600.0
263,14.85,7725.0
264,15.0,7775.0
265,15.2,7750.0
266,15.25,7750.0
267,15.15,7900.0
268,15.05,7875.0
269,15.15,7925.0
270,14.9,8000.0
271,15.1,7925.0
272,14.9,7950.0
273,14.75,7975.0
274,14.7,8025.0
275,14.7,8100.0
276,14.6,8425.0
277,14.3,8525.0
278,14.6,8750.0
279,14.8,8900.0
280,14.75,8800.0
281,14.75,8725.0
282,14.5,8425.0
283,14.4,8650.0
284,14.35,8600.0
285,14.45,8675.0
286,14.4,7725.0
287,14.45,7550.0
288,14.5,7500.0
289,14.45,7450.0
290,14.35,7425.0
291,14.45,7425.0
292,14.5,7475.0
293,14.5,7500.0
294,14.55,7425.0
295,14.7,7500.0
296,14.85,7475.0
297,15.9,7475.0
298,15.9,7500.0
299,15.95,7550.0
300,15.85,7625.0
301,15.75,7675.0
302,15.8,7675.0
303,15.85,7825.0
304,16.15,7725.0
305,16.1,7775.0
306,16.2,7850.0
307,16.15,8000.0
308,16.15,8125.0
309,16.1,8350.0
310,16.0,8250.0
311,16.1,8300.0
312,15.95,8275.0
313,16.2,8375.0
314,16.1,8475.0
315,16.15,8725.0
316,16.25,8650.0
317,16.2,8725.0
318,16.1,8775.0
319,16.1,8600.0
320,16.15,8675.0
321,16.05,8700.0
322,15.75,8825.0
323,15.8,8875.0
324,15.7,9350.0
325,15.65,9800.0
326,15.05,9700.0
327,15.1,10200.0
328,15.15,10325.0
329,15.1,10200.0
330,14.85,10325.0
331,14.75,10250.0
332,14.85,10250.0
333,15.05,9850.0
334,15.05,10025.0
335,15.1,10050.0
336,15.1,10075.0
337,14.95,9975.0
338,15.0,10025.0
339,14.9,9925.0
340,14.75,9850.0
341,14.85,10100.0
342,14.9,10275.0
343,15.0,10375.0
344,14.85,10325.0
345,14.85,10325.0
346,14.85,10300.0
347,14.9,10250.0
348,14.85,10250.0
349,14.8,10050.0
350,14.95,9925.0
